id,bankssts_surfarea,caudalanteriorcingulate_surfarea,caudalmiddlefrontal_surfarea,cuneus_surfarea,entorhinal_surfarea,fusiform_surfarea,inferiorparietal_surfarea,inferiortemporal_surfarea,isthmuscingulate_surfarea,lateraloccipital_surfarea,lateralorbitofrontal_surfarea,lingual_surfarea,medialorbitofrontal_surfarea,middletemporal_surfarea,parahippocampal_surfarea,paracentral_surfarea,parsopercularis_surfarea,parsorbitalis_surfarea,parstriangularis_surfarea,pericalcarine_surfarea,postcentral_surfarea,posteriorcingulate_surfarea,precentral_surfarea,precuneus_surfarea,rostralanteriorcingulate_surfarea,rostralmiddlefrontal_surfarea,superiorfrontal_surfarea,superiorparietal_surfarea,superiortemporal_surfarea,supramarginal_surfarea,frontalpole_surfarea,temporalpole_surfarea,transversetemporal_surfarea,insula_surfarea
24157-m204-nis19-10672,973.0,801.0,2007.0,1463.0,769.0,3520.0,5631.0,4958.0,996.0,6845.0,2777.0,3294.0,2286.0,4889.0,966.0,1546.0,1795.0,1011.0,1746.0,1104.0,4641.0,1378.0,5079.0,3880.0,1318.0,7548.0,9138.0,5549.0,4489.0,4856.0,473.0,928.0,459.0,2240.0
24157-m204-nis20-10672,1018.0,800.0,2035.0,1439.0,668.0,3812.0,5667.0,5347.0,1151.0,6767.0,2932.0,3372.0,2471.0,5206.0,1020.0,1555.0,1865.0,1048.0,1799.0,1142.0,4684.0,1416.0,5168.0,3916.0,1373.0,7762.0,9217.0,5557.0,4656.0,5147.0,483.0,913.0,500.0,2215.0
