id,medulla,pons,scp,midbrain,whole_brainstem
24157-m204-nis19-10672,5307.4692780000005,15504.862215000001,209.2033,6238.667178,27260.20197
24157-m204-nis20-10672,5046.016484000001,16126.221391,226.30708399999997,6611.71796,28010.262919
