id,hippocampal_tail,subiculum,ca1,hippocampal-fissure,presubiculum,parasubiculum,molecular_layer_hp,gc-ml-dg,ca3,ca4,fimbria,hata,whole_hippocampus
24157-m204-nis19-10672,634.550381,422.56326399999995,721.070969,146.922526,311.482039,54.914908,620.209865,317.310761,231.554227,267.151158,100.39007600000001,67.203676,3748.4013219999997
24157-m204-nis20-10672,671.108794,441.33340999999996,749.042388,157.380884,328.602651,56.586565,646.269079,327.947756,249.704554,274.490218,94.127183,75.72287299999999,3914.9354710000002
