id,ba1_exvivo_numvert,ba2_exvivo_numvert,ba3a_exvivo_numvert,ba3b_exvivo_numvert,ba4a_exvivo_numvert,ba4p_exvivo_numvert,ba6_exvivo_numvert,ba44_exvivo_numvert,ba45_exvivo_numvert,v1_exvivo_numvert,v2_exvivo_numvert,mt_exvivo_numvert,perirhinal_exvivo_numvert,entorhinal_exvivo_numvert,ba1_exvivo_surfarea,ba2_exvivo_surfarea,ba3a_exvivo_surfarea,ba3b_exvivo_surfarea,ba4a_exvivo_surfarea,ba4p_exvivo_surfarea,ba6_exvivo_surfarea,ba44_exvivo_surfarea,ba45_exvivo_surfarea,v1_exvivo_surfarea,v2_exvivo_surfarea,mt_exvivo_surfarea,perirhinal_exvivo_surfarea,entorhinal_exvivo_surfarea,ba1_exvivo_grayvol,ba2_exvivo_grayvol,ba3a_exvivo_grayvol,ba3b_exvivo_grayvol,ba4a_exvivo_grayvol,ba4p_exvivo_grayvol,ba6_exvivo_grayvol,ba44_exvivo_grayvol,ba45_exvivo_grayvol,v1_exvivo_grayvol,v2_exvivo_grayvol,mt_exvivo_grayvol,perirhinal_exvivo_grayvol,entorhinal_exvivo_grayvol,ba1_exvivo_thickavg,ba2_exvivo_thickavg,ba3a_exvivo_thickavg,ba3b_exvivo_thickavg,ba4a_exvivo_thickavg,ba4p_exvivo_thickavg,ba6_exvivo_thickavg,ba44_exvivo_thickavg,ba45_exvivo_thickavg,v1_exvivo_thickavg,v2_exvivo_thickavg,mt_exvivo_thickavg,perirhinal_exvivo_thickavg,entorhinal_exvivo_thickavg,ba1_exvivo_thickstd,ba2_exvivo_thickstd,ba3a_exvivo_thickstd,ba3b_exvivo_thickstd,ba4a_exvivo_thickstd,ba4p_exvivo_thickstd,ba6_exvivo_thickstd,ba44_exvivo_thickstd,ba45_exvivo_thickstd,v1_exvivo_thickstd,v2_exvivo_thickstd,mt_exvivo_thickstd,perirhinal_exvivo_thickstd,entorhinal_exvivo_thickstd,ba1_exvivo_meancurv,ba2_exvivo_meancurv,ba3a_exvivo_meancurv,ba3b_exvivo_meancurv,ba4a_exvivo_meancurv,ba4p_exvivo_meancurv,ba6_exvivo_meancurv,ba44_exvivo_meancurv,ba45_exvivo_meancurv,v1_exvivo_meancurv,v2_exvivo_meancurv,mt_exvivo_meancurv,perirhinal_exvivo_meancurv,entorhinal_exvivo_meancurv,ba1_exvivo_gauscurv,ba2_exvivo_gauscurv,ba3a_exvivo_gauscurv,ba3b_exvivo_gauscurv,ba4a_exvivo_gauscurv,ba4p_exvivo_gauscurv,ba6_exvivo_gauscurv,ba44_exvivo_gauscurv,ba45_exvivo_gauscurv,v1_exvivo_gauscurv,v2_exvivo_gauscurv,mt_exvivo_gauscurv,perirhinal_exvivo_gauscurv,entorhinal_exvivo_gauscurv,ba1_exvivo_foldind,ba2_exvivo_foldind,ba3a_exvivo_foldind,ba3b_exvivo_foldind,ba4a_exvivo_foldind,ba4p_exvivo_foldind,ba6_exvivo_foldind,ba44_exvivo_foldind,ba45_exvivo_foldind,v1_exvivo_foldind,v2_exvivo_foldind,mt_exvivo_foldind,perirhinal_exvivo_foldind,entorhinal_exvivo_foldind,ba1_exvivo_curvind,ba2_exvivo_curvind,ba3a_exvivo_curvind,ba3b_exvivo_curvind,ba4a_exvivo_curvind,ba4p_exvivo_curvind,ba6_exvivo_curvind,ba44_exvivo_curvind,ba45_exvivo_curvind,v1_exvivo_curvind,v2_exvivo_curvind,mt_exvivo_curvind,perirhinal_exvivo_curvind,entorhinal_exvivo_curvind
24157-m204-nis19-10672,1167.0,3417.0,1101.0,2466.0,1743.0,1458.0,8934.0,1913.0,3153.0,3704.0,8456.0,2465.0,558.0,570.0,594.0,2208.0,754.0,1557.0,911.0,842.0,5685.0,1301.0,2100.0,2460.0,5349.0,1487.0,347.0,421.0,1882.0,5108.0,1100.0,3441.0,3332.0,2451.0,19224.0,3643.0,6092.0,3574.0,10581.0,4675.0,2304.0,1711.0,2.372,2.26,1.8230000000000002,1.939,3.073,2.904,2.8539999999999996,2.5810000000000004,2.451,1.507,1.93,2.562,4.06,3.298,0.599,0.578,0.47600000000000003,0.675,0.452,0.511,0.563,0.444,0.494,0.43200000000000005,0.555,0.5379999999999999,0.5589999999999999,0.752,0.102,0.107,0.133,0.098,0.075,0.078,0.11199999999999999,0.11900000000000001,0.115,0.133,0.141,0.115,0.091,0.105,0.02,0.018000000000000002,0.027000000000000003,0.017,0.013999999999999999,0.013000000000000001,0.021,0.024,0.021,0.027999999999999997,0.031,0.027999999999999997,0.019,0.019,12.0,29.0,9.0,20.0,23.0,6.0,83.0,21.0,34.0,41.0,111.0,27.0,5.0,4.0,0.9,2.4,1.2,1.8,1.2,0.9,7.2,1.8,2.6,4.3,10.7,2.8,0.4,0.3
24157-m204-nis20-10672,1076.0,3277.0,1093.0,2386.0,1676.0,1467.0,8650.0,1960.0,3292.0,3679.0,8162.0,2227.0,575.0,599.0,621.0,2211.0,756.0,1551.0,955.0,867.0,5729.0,1303.0,2189.0,2445.0,5199.0,1476.0,364.0,422.0,1898.0,5042.0,1143.0,3490.0,3277.0,2392.0,18399.0,3845.0,6468.0,3971.0,11331.0,4525.0,2034.0,1560.0,2.319,2.207,1.858,1.9280000000000002,2.889,2.8169999999999997,2.713,2.66,2.484,1.663,2.049,2.523,3.825,3.265,0.555,0.5820000000000001,0.444,0.653,0.42700000000000005,0.48700000000000004,0.545,0.49200000000000005,0.45899999999999996,0.473,0.546,0.563,0.674,0.65,0.11800000000000001,0.113,0.136,0.10400000000000001,0.08800000000000001,0.091,0.11900000000000001,0.11900000000000001,0.11599999999999999,0.129,0.145,0.129,0.11,0.113,0.025,0.022000000000000002,0.027999999999999997,0.018000000000000002,0.016,0.02,0.061,0.024,0.022000000000000002,0.03,0.035,0.031,0.043,0.03,13.0,28.0,9.0,22.0,10.0,7.0,690.0,21.0,37.0,41.0,119.0,28.0,7.0,5.0,1.0,2.8,1.3,1.8,1.2,1.3,34.0,1.9,3.0,4.5,11.4,2.6,1.1,0.7
