id,bankssts_surfarea,caudalanteriorcingulate_surfarea,caudalmiddlefrontal_surfarea,cuneus_surfarea,entorhinal_surfarea,fusiform_surfarea,inferiorparietal_surfarea,inferiortemporal_surfarea,isthmuscingulate_surfarea,lateraloccipital_surfarea,lateralorbitofrontal_surfarea,lingual_surfarea,medialorbitofrontal_surfarea,middletemporal_surfarea,parahippocampal_surfarea,paracentral_surfarea,parsopercularis_surfarea,parsorbitalis_surfarea,parstriangularis_surfarea,pericalcarine_surfarea,postcentral_surfarea,posteriorcingulate_surfarea,precentral_surfarea,precuneus_surfarea,rostralanteriorcingulate_surfarea,rostralmiddlefrontal_surfarea,superiorfrontal_surfarea,superiorparietal_surfarea,superiortemporal_surfarea,supramarginal_surfarea,frontalpole_surfarea,temporalpole_surfarea,transversetemporal_surfarea,insula_surfarea
24157-m204-nis19-10672,905.0,748.0,2349.0,1753.0,755.0,3552.0,6751.0,4178.0,948.0,5998.0,2948.0,3750.0,2589.0,4821.0,735.0,1851.0,1818.0,1067.0,1878.0,1309.0,4236.0,1320.0,5533.0,3840.0,811.0,6899.0,9168.0,5565.0,4402.0,4050.0,498.0,991.0,389.0,1959.0
24157-m204-nis20-10672,892.0,752.0,2438.0,1844.0,913.0,3731.0,6933.0,4307.0,1073.0,6000.0,3072.0,3823.0,2788.0,4945.0,714.0,1828.0,1909.0,1105.0,1945.0,1324.0,4326.0,1367.0,5564.0,3922.0,874.0,7181.0,9558.0,5631.0,4491.0,4172.0,528.0,906.0,388.0,1990.0
