aseg.csv,aseg_bigregions.csv,brainstem.csv,lh.aparc.a2009s.csv,lh.aparc.csv,lh.aparc.DKTatlas.csv,lh.aparc.pial.a2009s.csv,lh.aparc.pial.csv,lh.aparc.pialDKT.csv,lh.BA_exvivo.csv,lhpcsub.csv,rh.aparc.a2009s.csv,rh.aparc.csv,rh.aparc.DKTatlas.csv,rh.aparc.pial.a2009s.csv,rh.aparc.pial.csv,rh.aparc.pialDKT.csv,rh.BA_exvivo.csv,rhpcsub.csv,wmparc.csv
,,,g_postcentral_thickstd,rostralmiddlefrontal_thickstd,superiorparietal_thickstd,,,,,,g_postcentral_thickstd,rostralmiddlefrontal_thickstd,superiorparietal_thickstd,,,,,,
,,,g_precentral_curvind,superiorfrontal_curvind,superiortemporal_curvind,,,,,,g_precentral_curvind,superiorfrontal_curvind,superiortemporal_curvind,,,,,,
,,,g_precentral_foldind,superiorfrontal_foldind,superiortemporal_foldind,,,,,,g_precentral_foldind,superiorfrontal_foldind,superiortemporal_foldind,,,,,,
,,,g_precentral_gauscurv,superiorfrontal_gauscurv,superiortemporal_gauscurv,,,,,,g_precentral_gauscurv,superiorfrontal_gauscurv,superiortemporal_gauscurv,,,,,,
,,,g_precentral_grayvol,superiorfrontal_grayvol,superiortemporal_grayvol,,,,,,g_precentral_grayvol,superiorfrontal_grayvol,superiortemporal_grayvol,,,,,,
,,,g_precentral_meancurv,superiorfrontal_meancurv,superiortemporal_meancurv,,,,,,g_precentral_meancurv,superiorfrontal_meancurv,superiortemporal_meancurv,,,,,,
,,,g_precentral_numvert,superiorfrontal_numvert,superiortemporal_numvert,,,,,,g_precentral_numvert,superiorfrontal_numvert,superiortemporal_numvert,,,,,,
,,,g_precentral_surfarea,superiorfrontal_surfarea,superiortemporal_surfarea,,,,,,g_precentral_surfarea,superiorfrontal_surfarea,superiortemporal_surfarea,,,,,,
,,,g_precentral_thickavg,superiorfrontal_thickavg,superiortemporal_thickavg,,,,,,g_precentral_thickavg,superiorfrontal_thickavg,superiortemporal_thickavg,,,,,,
,,,g_precentral_thickstd,superiorfrontal_thickstd,superiortemporal_thickstd,,,,,,g_precentral_thickstd,superiorfrontal_thickstd,superiortemporal_thickstd,,,,,,
,,,g_precuneus_curvind,superiorparietal_curvind,supramarginal_curvind,,,,,,g_precuneus_curvind,superiorparietal_curvind,supramarginal_curvind,,,,,,
,,,g_precuneus_foldind,superiorparietal_foldind,supramarginal_foldind,,,,,,g_precuneus_foldind,superiorparietal_foldind,supramarginal_foldind,,,,,,
,,,g_precuneus_gauscurv,superiorparietal_gauscurv,supramarginal_gauscurv,,,,,,g_precuneus_gauscurv,superiorparietal_gauscurv,supramarginal_gauscurv,,,,,,
,,,g_precuneus_grayvol,superiorparietal_grayvol,supramarginal_grayvol,,,,,,g_precuneus_grayvol,superiorparietal_grayvol,supramarginal_grayvol,,,,,,
,,,g_precuneus_meancurv,superiorparietal_meancurv,supramarginal_meancurv,,,,,,g_precuneus_meancurv,superiorparietal_meancurv,supramarginal_meancurv,,,,,,
,,,g_precuneus_numvert,superiorparietal_numvert,supramarginal_numvert,,,,,,g_precuneus_numvert,superiorparietal_numvert,supramarginal_numvert,,,,,,
,,,g_precuneus_surfarea,superiorparietal_surfarea,supramarginal_surfarea,,,,,,g_precuneus_surfarea,superiorparietal_surfarea,supramarginal_surfarea,,,,,,
,,,g_precuneus_thickavg,superiorparietal_thickavg,supramarginal_thickavg,,,,,,g_precuneus_thickavg,superiorparietal_thickavg,supramarginal_thickavg,,,,,,
,,,g_precuneus_thickstd,superiorparietal_thickstd,supramarginal_thickstd,,,,,,g_precuneus_thickstd,superiorparietal_thickstd,supramarginal_thickstd,,,,,,
,,,g_rectus_curvind,superiortemporal_curvind,transversetemporal_curvind,,,,,,g_rectus_curvind,superiortemporal_curvind,transversetemporal_curvind,,,,,,
,,,g_rectus_foldind,superiortemporal_foldind,transversetemporal_foldind,,,,,,g_rectus_foldind,superiortemporal_foldind,transversetemporal_foldind,,,,,,
,,,g_rectus_gauscurv,superiortemporal_gauscurv,transversetemporal_gauscurv,,,,,,g_rectus_gauscurv,superiortemporal_gauscurv,transversetemporal_gauscurv,,,,,,
,,,g_rectus_grayvol,superiortemporal_grayvol,transversetemporal_grayvol,,,,,,g_rectus_grayvol,superiortemporal_grayvol,transversetemporal_grayvol,,,,,,
,,,g_rectus_meancurv,superiortemporal_meancurv,transversetemporal_meancurv,,,,,,g_rectus_meancurv,superiortemporal_meancurv,transversetemporal_meancurv,,,,,,
,,,g_rectus_numvert,superiortemporal_numvert,transversetemporal_numvert,,,,,,g_rectus_numvert,superiortemporal_numvert,transversetemporal_numvert,,,,,,
,,,g_rectus_surfarea,superiortemporal_surfarea,transversetemporal_surfarea,,,,,,g_rectus_surfarea,superiortemporal_surfarea,transversetemporal_surfarea,,,,,,
,,,g_rectus_thickavg,superiortemporal_thickavg,transversetemporal_thickavg,,,,,,g_rectus_thickavg,superiortemporal_thickavg,transversetemporal_thickavg,,,,,,
,,,g_rectus_thickstd,superiortemporal_thickstd,transversetemporal_thickstd,,,,,,g_rectus_thickstd,superiortemporal_thickstd,transversetemporal_thickstd,,,,,,
,,,g_subcallosal_curvind,supramarginal_curvind,,,,,,,g_subcallosal_curvind,supramarginal_curvind,,,,,,,
,,,g_subcallosal_foldind,supramarginal_foldind,,,,,,,g_subcallosal_foldind,supramarginal_foldind,,,,,,,
,,,g_subcallosal_gauscurv,supramarginal_gauscurv,,,,,,,g_subcallosal_gauscurv,supramarginal_gauscurv,,,,,,,
,,,g_subcallosal_grayvol,supramarginal_grayvol,,,,,,,g_subcallosal_grayvol,supramarginal_grayvol,,,,,,,
,,,g_subcallosal_meancurv,supramarginal_meancurv,,,,,,,g_subcallosal_meancurv,supramarginal_meancurv,,,,,,,
,,,g_subcallosal_numvert,supramarginal_numvert,,,,,,,g_subcallosal_numvert,supramarginal_numvert,,,,,,,
,,,g_subcallosal_surfarea,supramarginal_surfarea,,,,,,,g_subcallosal_surfarea,supramarginal_surfarea,,,,,,,
,,,g_subcallosal_thickavg,supramarginal_thickavg,,,,,,,g_subcallosal_thickavg,supramarginal_thickavg,,,,,,,
,,,g_subcallosal_thickstd,supramarginal_thickstd,,,,,,,g_subcallosal_thickstd,supramarginal_thickstd,,,,,,,
,,,g_temp_sup-g_t_transv_curvind,temporalpole_curvind,,,,,,,g_temp_sup-g_t_transv_curvind,temporalpole_curvind,,,,,,,
,,,g_temp_sup-g_t_transv_foldind,temporalpole_foldind,,,,,,,g_temp_sup-g_t_transv_foldind,temporalpole_foldind,,,,,,,
,,,g_temp_sup-g_t_transv_gauscurv,temporalpole_gauscurv,,,,,,,g_temp_sup-g_t_transv_gauscurv,temporalpole_gauscurv,,,,,,,
,,,g_temp_sup-g_t_transv_grayvol,temporalpole_grayvol,,,,,,,g_temp_sup-g_t_transv_grayvol,temporalpole_grayvol,,,,,,,
,,,g_temp_sup-g_t_transv_meancurv,temporalpole_meancurv,,,,,,,g_temp_sup-g_t_transv_meancurv,temporalpole_meancurv,,,,,,,
,,,g_temp_sup-g_t_transv_numvert,temporalpole_numvert,,,,,,,g_temp_sup-g_t_transv_numvert,temporalpole_numvert,,,,,,,
,,,g_temp_sup-g_t_transv_surfarea,temporalpole_surfarea,,,,,,,g_temp_sup-g_t_transv_surfarea,temporalpole_surfarea,,,,,,,
,,,g_temp_sup-g_t_transv_thickavg,temporalpole_thickavg,,,,,,,g_temp_sup-g_t_transv_thickavg,temporalpole_thickavg,,,,,,,
,,,g_temp_sup-g_t_transv_thickstd,temporalpole_thickstd,,,,,,,g_temp_sup-g_t_transv_thickstd,temporalpole_thickstd,,,,,,,
,,,g_temp_sup-lateral_curvind,transversetemporal_curvind,,,,,,,g_temp_sup-lateral_curvind,transversetemporal_curvind,,,,,,,
,,,g_temp_sup-lateral_foldind,transversetemporal_foldind,,,,,,,g_temp_sup-lateral_foldind,transversetemporal_foldind,,,,,,,
,,,g_temp_sup-lateral_gauscurv,transversetemporal_gauscurv,,,,,,,g_temp_sup-lateral_gauscurv,transversetemporal_gauscurv,,,,,,,
,,,g_temp_sup-lateral_grayvol,transversetemporal_grayvol,,,,,,,g_temp_sup-lateral_grayvol,transversetemporal_grayvol,,,,,,,
,,,g_temp_sup-lateral_meancurv,transversetemporal_meancurv,,,,,,,g_temp_sup-lateral_meancurv,transversetemporal_meancurv,,,,,,,
,,,g_temp_sup-lateral_numvert,transversetemporal_numvert,,,,,,,g_temp_sup-lateral_numvert,transversetemporal_numvert,,,,,,,
,,,g_temp_sup-lateral_surfarea,transversetemporal_surfarea,,,,,,,g_temp_sup-lateral_surfarea,transversetemporal_surfarea,,,,,,,
,,,g_temp_sup-lateral_thickavg,transversetemporal_thickavg,,,,,,,g_temp_sup-lateral_thickavg,transversetemporal_thickavg,,,,,,,
,,,g_temp_sup-lateral_thickstd,transversetemporal_thickstd,,,,,,,g_temp_sup-lateral_thickstd,transversetemporal_thickstd,,,,,,,
,,,g_temp_sup-plan_polar_curvind,,,,,,,,g_temp_sup-plan_polar_curvind,,,,,,,,
,,,g_temp_sup-plan_polar_foldind,,,,,,,,g_temp_sup-plan_polar_foldind,,,,,,,,
,,,g_temp_sup-plan_polar_gauscurv,,,,,,,,g_temp_sup-plan_polar_gauscurv,,,,,,,,
,,,g_temp_sup-plan_polar_grayvol,,,,,,,,g_temp_sup-plan_polar_grayvol,,,,,,,,
,,,g_temp_sup-plan_polar_meancurv,,,,,,,,g_temp_sup-plan_polar_meancurv,,,,,,,,
,,,g_temp_sup-plan_polar_numvert,,,,,,,,g_temp_sup-plan_polar_numvert,,,,,,,,
,,,g_temp_sup-plan_polar_surfarea,,,,,,,,g_temp_sup-plan_polar_surfarea,,,,,,,,
,,,g_temp_sup-plan_polar_thickavg,,,,,,,,g_temp_sup-plan_polar_thickavg,,,,,,,,
,,,g_temp_sup-plan_polar_thickstd,,,,,,,,g_temp_sup-plan_polar_thickstd,,,,,,,,
,,,g_temp_sup-plan_tempo_curvind,,,,,,,,g_temp_sup-plan_tempo_curvind,,,,,,,,
,,,g_temp_sup-plan_tempo_foldind,,,,,,,,g_temp_sup-plan_tempo_foldind,,,,,,,,
,,,g_temp_sup-plan_tempo_gauscurv,,,,,,,,g_temp_sup-plan_tempo_gauscurv,,,,,,,,
,,,g_temp_sup-plan_tempo_grayvol,,,,,,,,g_temp_sup-plan_tempo_grayvol,,,,,,,,
,,,g_temp_sup-plan_tempo_meancurv,,,,,,,,g_temp_sup-plan_tempo_meancurv,,,,,,,,
,,,g_temp_sup-plan_tempo_numvert,,,,,,,,g_temp_sup-plan_tempo_numvert,,,,,,,,
,,,g_temp_sup-plan_tempo_surfarea,,,,,,,,g_temp_sup-plan_tempo_surfarea,,,,,,,,
,,,g_temp_sup-plan_tempo_thickavg,,,,,,,,g_temp_sup-plan_tempo_thickavg,,,,,,,,
,,,g_temp_sup-plan_tempo_thickstd,,,,,,,,g_temp_sup-plan_tempo_thickstd,,,,,,,,
,,,g_temporal_inf_curvind,,,,,,,,g_temporal_inf_curvind,,,,,,,,
,,,g_temporal_inf_foldind,,,,,,,,g_temporal_inf_foldind,,,,,,,,
,,,g_temporal_inf_gauscurv,,,,,,,,g_temporal_inf_gauscurv,,,,,,,,
,,,g_temporal_inf_grayvol,,,,,,,,g_temporal_inf_grayvol,,,,,,,,
,,,g_temporal_inf_meancurv,,,,,,,,g_temporal_inf_meancurv,,,,,,,,
,,,g_temporal_inf_numvert,,,,,,,,g_temporal_inf_numvert,,,,,,,,
,,,g_temporal_inf_surfarea,,,,,,,,g_temporal_inf_surfarea,,,,,,,,
,,,g_temporal_inf_thickavg,,,,,,,,g_temporal_inf_thickavg,,,,,,,,
,,,g_temporal_inf_thickstd,,,,,,,,g_temporal_inf_thickstd,,,,,,,,
,,,g_temporal_middle_curvind,,,,,,,,g_temporal_middle_curvind,,,,,,,,
,,,g_temporal_middle_foldind,,,,,,,,g_temporal_middle_foldind,,,,,,,,
,,,g_temporal_middle_gauscurv,,,,,,,,g_temporal_middle_gauscurv,,,,,,,,
,,,g_temporal_middle_grayvol,,,,,,,,g_temporal_middle_grayvol,,,,,,,,
,,,g_temporal_middle_meancurv,,,,,,,,g_temporal_middle_meancurv,,,,,,,,
,,,g_temporal_middle_numvert,,,,,,,,g_temporal_middle_numvert,,,,,,,,
,,,g_temporal_middle_surfarea,,,,,,,,g_temporal_middle_surfarea,,,,,,,,
,,,g_temporal_middle_thickavg,,,,,,,,g_temporal_middle_thickavg,,,,,,,,
,,,g_temporal_middle_thickstd,,,,,,,,g_temporal_middle_thickstd,,,,,,,,
,,,lat_fis-ant-horizont_curvind,,,,,,,,lat_fis-ant-horizont_curvind,,,,,,,,
,,,lat_fis-ant-horizont_foldind,,,,,,,,lat_fis-ant-horizont_foldind,,,,,,,,
,,,lat_fis-ant-horizont_gauscurv,,,,,,,,lat_fis-ant-horizont_gauscurv,,,,,,,,
,,,lat_fis-ant-horizont_grayvol,,,,,,,,lat_fis-ant-horizont_grayvol,,,,,,,,
,,,lat_fis-ant-horizont_meancurv,,,,,,,,lat_fis-ant-horizont_meancurv,,,,,,,,
,,,lat_fis-ant-horizont_numvert,,,,,,,,lat_fis-ant-horizont_numvert,,,,,,,,
,,,lat_fis-ant-horizont_surfarea,,,,,,,,lat_fis-ant-horizont_surfarea,,,,,,,,
,,,lat_fis-ant-horizont_thickavg,,,,,,,,lat_fis-ant-horizont_thickavg,,,,,,,,
,,,lat_fis-ant-horizont_thickstd,,,,,,,,lat_fis-ant-horizont_thickstd,,,,,,,,
,,,lat_fis-ant-vertical_curvind,,,,,,,,lat_fis-ant-vertical_curvind,,,,,,,,
,,,lat_fis-ant-vertical_foldind,,,,,,,,lat_fis-ant-vertical_foldind,,,,,,,,
,,,lat_fis-ant-vertical_gauscurv,,,,,,,,lat_fis-ant-vertical_gauscurv,,,,,,,,
,,,lat_fis-ant-vertical_grayvol,,,,,,,,lat_fis-ant-vertical_grayvol,,,,,,,,
,,,lat_fis-ant-vertical_meancurv,,,,,,,,lat_fis-ant-vertical_meancurv,,,,,,,,
,,,lat_fis-ant-vertical_numvert,,,,,,,,lat_fis-ant-vertical_numvert,,,,,,,,
,,,lat_fis-ant-vertical_surfarea,,,,,,,,lat_fis-ant-vertical_surfarea,,,,,,,,
,,,lat_fis-ant-vertical_thickavg,,,,,,,,lat_fis-ant-vertical_thickavg,,,,,,,,
,,,lat_fis-ant-vertical_thickstd,,,,,,,,lat_fis-ant-vertical_thickstd,,,,,,,,
,,,lat_fis-post_curvind,,,,,,,,lat_fis-post_curvind,,,,,,,,
,,,lat_fis-post_foldind,,,,,,,,lat_fis-post_foldind,,,,,,,,
,,,lat_fis-post_gauscurv,,,,,,,,lat_fis-post_gauscurv,,,,,,,,
,,,lat_fis-post_grayvol,,,,,,,,lat_fis-post_grayvol,,,,,,,,
,,,lat_fis-post_meancurv,,,,,,,,lat_fis-post_meancurv,,,,,,,,
,,,lat_fis-post_numvert,,,,,,,,lat_fis-post_numvert,,,,,,,,
,,,lat_fis-post_surfarea,,,,,,,,lat_fis-post_surfarea,,,,,,,,
,,,lat_fis-post_thickavg,,,,,,,,lat_fis-post_thickavg,,,,,,,,
,,,lat_fis-post_thickstd,,,,,,,,lat_fis-post_thickstd,,,,,,,,
,,,pole_occipital_curvind,,,,,,,,pole_occipital_curvind,,,,,,,,
,,,pole_occipital_foldind,,,,,,,,pole_occipital_foldind,,,,,,,,
,,,pole_occipital_gauscurv,,,,,,,,pole_occipital_gauscurv,,,,,,,,
,,,pole_occipital_grayvol,,,,,,,,pole_occipital_grayvol,,,,,,,,
,,,pole_occipital_meancurv,,,,,,,,pole_occipital_meancurv,,,,,,,,
,,,pole_occipital_numvert,,,,,,,,pole_occipital_numvert,,,,,,,,
,,,pole_occipital_surfarea,,,,,,,,pole_occipital_surfarea,,,,,,,,
,,,pole_occipital_thickavg,,,,,,,,pole_occipital_thickavg,,,,,,,,
,,,pole_occipital_thickstd,,,,,,,,pole_occipital_thickstd,,,,,,,,
,,,pole_temporal_curvind,,,,,,,,pole_temporal_curvind,,,,,,,,
,,,pole_temporal_foldind,,,,,,,,pole_temporal_foldind,,,,,,,,
,,,pole_temporal_gauscurv,,,,,,,,pole_temporal_gauscurv,,,,,,,,
,,,pole_temporal_grayvol,,,,,,,,pole_temporal_grayvol,,,,,,,,
,,,pole_temporal_meancurv,,,,,,,,pole_temporal_meancurv,,,,,,,,
,,,pole_temporal_numvert,,,,,,,,pole_temporal_numvert,,,,,,,,
,,,pole_temporal_surfarea,,,,,,,,pole_temporal_surfarea,,,,,,,,
,,,pole_temporal_thickavg,,,,,,,,pole_temporal_thickavg,,,,,,,,
,,,pole_temporal_thickstd,,,,,,,,pole_temporal_thickstd,,,,,,,,
,,,s_calcarine_curvind,,,,,,,,s_calcarine_curvind,,,,,,,,
,,,s_calcarine_foldind,,,,,,,,s_calcarine_foldind,,,,,,,,
,,,s_calcarine_gauscurv,,,,,,,,s_calcarine_gauscurv,,,,,,,,
,,,s_calcarine_grayvol,,,,,,,,s_calcarine_grayvol,,,,,,,,
,,,s_calcarine_meancurv,,,,,,,,s_calcarine_meancurv,,,,,,,,
,,,s_calcarine_numvert,,,,,,,,s_calcarine_numvert,,,,,,,,
,,,s_calcarine_surfarea,,,,,,,,s_calcarine_surfarea,,,,,,,,
,,,s_calcarine_thickavg,,,,,,,,s_calcarine_thickavg,,,,,,,,
,,,s_calcarine_thickstd,,,,,,,,s_calcarine_thickstd,,,,,,,,
,,,s_central_curvind,,,,,,,,s_central_curvind,,,,,,,,
,,,s_central_foldind,,,,,,,,s_central_foldind,,,,,,,,
,,,s_central_gauscurv,,,,,,,,s_central_gauscurv,,,,,,,,
,,,s_central_grayvol,,,,,,,,s_central_grayvol,,,,,,,,
,,,s_central_meancurv,,,,,,,,s_central_meancurv,,,,,,,,
,,,s_central_numvert,,,,,,,,s_central_numvert,,,,,,,,
,,,s_central_surfarea,,,,,,,,s_central_surfarea,,,,,,,,
,,,s_central_thickavg,,,,,,,,s_central_thickavg,,,,,,,,
,,,s_central_thickstd,,,,,,,,s_central_thickstd,,,,,,,,
,,,s_cingul-marginalis_curvind,,,,,,,,s_cingul-marginalis_curvind,,,,,,,,
,,,s_cingul-marginalis_foldind,,,,,,,,s_cingul-marginalis_foldind,,,,,,,,
,,,s_cingul-marginalis_gauscurv,,,,,,,,s_cingul-marginalis_gauscurv,,,,,,,,
,,,s_cingul-marginalis_grayvol,,,,,,,,s_cingul-marginalis_grayvol,,,,,,,,
,,,s_cingul-marginalis_meancurv,,,,,,,,s_cingul-marginalis_meancurv,,,,,,,,
,,,s_cingul-marginalis_numvert,,,,,,,,s_cingul-marginalis_numvert,,,,,,,,
,,,s_cingul-marginalis_surfarea,,,,,,,,s_cingul-marginalis_surfarea,,,,,,,,
,,,s_cingul-marginalis_thickavg,,,,,,,,s_cingul-marginalis_thickavg,,,,,,,,
,,,s_cingul-marginalis_thickstd,,,,,,,,s_cingul-marginalis_thickstd,,,,,,,,
,,,s_circular_insula_ant_curvind,,,,,,,,s_circular_insula_ant_curvind,,,,,,,,
,,,s_circular_insula_ant_foldind,,,,,,,,s_circular_insula_ant_foldind,,,,,,,,
,,,s_circular_insula_ant_gauscurv,,,,,,,,s_circular_insula_ant_gauscurv,,,,,,,,
,,,s_circular_insula_ant_grayvol,,,,,,,,s_circular_insula_ant_grayvol,,,,,,,,
,,,s_circular_insula_ant_meancurv,,,,,,,,s_circular_insula_ant_meancurv,,,,,,,,
,,,s_circular_insula_ant_numvert,,,,,,,,s_circular_insula_ant_numvert,,,,,,,,
,,,s_circular_insula_ant_surfarea,,,,,,,,s_circular_insula_ant_surfarea,,,,,,,,
,,,s_circular_insula_ant_thickavg,,,,,,,,s_circular_insula_ant_thickavg,,,,,,,,
,,,s_circular_insula_ant_thickstd,,,,,,,,s_circular_insula_ant_thickstd,,,,,,,,
,,,s_circular_insula_inf_curvind,,,,,,,,s_circular_insula_inf_curvind,,,,,,,,
,,,s_circular_insula_inf_foldind,,,,,,,,s_circular_insula_inf_foldind,,,,,,,,
,,,s_circular_insula_inf_gauscurv,,,,,,,,s_circular_insula_inf_gauscurv,,,,,,,,
,,,s_circular_insula_inf_grayvol,,,,,,,,s_circular_insula_inf_grayvol,,,,,,,,
,,,s_circular_insula_inf_meancurv,,,,,,,,s_circular_insula_inf_meancurv,,,,,,,,
,,,s_circular_insula_inf_numvert,,,,,,,,s_circular_insula_inf_numvert,,,,,,,,
,,,s_circular_insula_inf_surfarea,,,,,,,,s_circular_insula_inf_surfarea,,,,,,,,
,,,s_circular_insula_inf_thickavg,,,,,,,,s_circular_insula_inf_thickavg,,,,,,,,
,,,s_circular_insula_inf_thickstd,,,,,,,,s_circular_insula_inf_thickstd,,,,,,,,
,,,s_circular_insula_sup_curvind,,,,,,,,s_circular_insula_sup_curvind,,,,,,,,
,,,s_circular_insula_sup_foldind,,,,,,,,s_circular_insula_sup_foldind,,,,,,,,
,,,s_circular_insula_sup_gauscurv,,,,,,,,s_circular_insula_sup_gauscurv,,,,,,,,
,,,s_circular_insula_sup_grayvol,,,,,,,,s_circular_insula_sup_grayvol,,,,,,,,
,,,s_circular_insula_sup_meancurv,,,,,,,,s_circular_insula_sup_meancurv,,,,,,,,
,,,s_circular_insula_sup_numvert,,,,,,,,s_circular_insula_sup_numvert,,,,,,,,
,,,s_circular_insula_sup_surfarea,,,,,,,,s_circular_insula_sup_surfarea,,,,,,,,
,,,s_circular_insula_sup_thickavg,,,,,,,,s_circular_insula_sup_thickavg,,,,,,,,
,,,s_circular_insula_sup_thickstd,,,,,,,,s_circular_insula_sup_thickstd,,,,,,,,
,,,s_collat_transv_ant_curvind,,,,,,,,s_collat_transv_ant_curvind,,,,,,,,
,,,s_collat_transv_ant_foldind,,,,,,,,s_collat_transv_ant_foldind,,,,,,,,
,,,s_collat_transv_ant_gauscurv,,,,,,,,s_collat_transv_ant_gauscurv,,,,,,,,
,,,s_collat_transv_ant_grayvol,,,,,,,,s_collat_transv_ant_grayvol,,,,,,,,
,,,s_collat_transv_ant_meancurv,,,,,,,,s_collat_transv_ant_meancurv,,,,,,,,
,,,s_collat_transv_ant_numvert,,,,,,,,s_collat_transv_ant_numvert,,,,,,,,
,,,s_collat_transv_ant_surfarea,,,,,,,,s_collat_transv_ant_surfarea,,,,,,,,
,,,s_collat_transv_ant_thickavg,,,,,,,,s_collat_transv_ant_thickavg,,,,,,,,
,,,s_collat_transv_ant_thickstd,,,,,,,,s_collat_transv_ant_thickstd,,,,,,,,
,,,s_collat_transv_post_curvind,,,,,,,,s_collat_transv_post_curvind,,,,,,,,
,,,s_collat_transv_post_foldind,,,,,,,,s_collat_transv_post_foldind,,,,,,,,
,,,s_collat_transv_post_gauscurv,,,,,,,,s_collat_transv_post_gauscurv,,,,,,,,
,,,s_collat_transv_post_grayvol,,,,,,,,s_collat_transv_post_grayvol,,,,,,,,
,,,s_collat_transv_post_meancurv,,,,,,,,s_collat_transv_post_meancurv,,,,,,,,
,,,s_collat_transv_post_numvert,,,,,,,,s_collat_transv_post_numvert,,,,,,,,
,,,s_collat_transv_post_surfarea,,,,,,,,s_collat_transv_post_surfarea,,,,,,,,
,,,s_collat_transv_post_thickavg,,,,,,,,s_collat_transv_post_thickavg,,,,,,,,
,,,s_collat_transv_post_thickstd,,,,,,,,s_collat_transv_post_thickstd,,,,,,,,
,,,s_front_inf_curvind,,,,,,,,s_front_inf_curvind,,,,,,,,
,,,s_front_inf_foldind,,,,,,,,s_front_inf_foldind,,,,,,,,
,,,s_front_inf_gauscurv,,,,,,,,s_front_inf_gauscurv,,,,,,,,
,,,s_front_inf_grayvol,,,,,,,,s_front_inf_grayvol,,,,,,,,
,,,s_front_inf_meancurv,,,,,,,,s_front_inf_meancurv,,,,,,,,
,,,s_front_inf_numvert,,,,,,,,s_front_inf_numvert,,,,,,,,
,,,s_front_inf_surfarea,,,,,,,,s_front_inf_surfarea,,,,,,,,
,,,s_front_inf_thickavg,,,,,,,,s_front_inf_thickavg,,,,,,,,
,,,s_front_inf_thickstd,,,,,,,,s_front_inf_thickstd,,,,,,,,
,,,s_front_middle_curvind,,,,,,,,s_front_middle_curvind,,,,,,,,
,,,s_front_middle_foldind,,,,,,,,s_front_middle_foldind,,,,,,,,
,,,s_front_middle_gauscurv,,,,,,,,s_front_middle_gauscurv,,,,,,,,
,,,s_front_middle_grayvol,,,,,,,,s_front_middle_grayvol,,,,,,,,
,,,s_front_middle_meancurv,,,,,,,,s_front_middle_meancurv,,,,,,,,
,,,s_front_middle_numvert,,,,,,,,s_front_middle_numvert,,,,,,,,
,,,s_front_middle_surfarea,,,,,,,,s_front_middle_surfarea,,,,,,,,
,,,s_front_middle_thickavg,,,,,,,,s_front_middle_thickavg,,,,,,,,
,,,s_front_middle_thickstd,,,,,,,,s_front_middle_thickstd,,,,,,,,
,,,s_front_sup_curvind,,,,,,,,s_front_sup_curvind,,,,,,,,
,,,s_front_sup_foldind,,,,,,,,s_front_sup_foldind,,,,,,,,
,,,s_front_sup_gauscurv,,,,,,,,s_front_sup_gauscurv,,,,,,,,
,,,s_front_sup_grayvol,,,,,,,,s_front_sup_grayvol,,,,,,,,
,,,s_front_sup_meancurv,,,,,,,,s_front_sup_meancurv,,,,,,,,
,,,s_front_sup_numvert,,,,,,,,s_front_sup_numvert,,,,,,,,
,,,s_front_sup_surfarea,,,,,,,,s_front_sup_surfarea,,,,,,,,
,,,s_front_sup_thickavg,,,,,,,,s_front_sup_thickavg,,,,,,,,
,,,s_front_sup_thickstd,,,,,,,,s_front_sup_thickstd,,,,,,,,
,,,s_interm_prim-jensen_curvind,,,,,,,,s_interm_prim-jensen_curvind,,,,,,,,
,,,s_interm_prim-jensen_foldind,,,,,,,,s_interm_prim-jensen_foldind,,,,,,,,
,,,s_interm_prim-jensen_gauscurv,,,,,,,,s_interm_prim-jensen_gauscurv,,,,,,,,
,,,s_interm_prim-jensen_grayvol,,,,,,,,s_interm_prim-jensen_grayvol,,,,,,,,
,,,s_interm_prim-jensen_meancurv,,,,,,,,s_interm_prim-jensen_meancurv,,,,,,,,
,,,s_interm_prim-jensen_numvert,,,,,,,,s_interm_prim-jensen_numvert,,,,,,,,
,,,s_interm_prim-jensen_surfarea,,,,,,,,s_interm_prim-jensen_surfarea,,,,,,,,
,,,s_interm_prim-jensen_thickavg,,,,,,,,s_interm_prim-jensen_thickavg,,,,,,,,
,,,s_interm_prim-jensen_thickstd,,,,,,,,s_interm_prim-jensen_thickstd,,,,,,,,
,,,s_intrapariet&p_trans_curvind,,,,,,,,s_intrapariet&p_trans_curvind,,,,,,,,
,,,s_intrapariet&p_trans_foldind,,,,,,,,s_intrapariet&p_trans_foldind,,,,,,,,
,,,s_intrapariet&p_trans_gauscurv,,,,,,,,s_intrapariet&p_trans_gauscurv,,,,,,,,
,,,s_intrapariet&p_trans_grayvol,,,,,,,,s_intrapariet&p_trans_grayvol,,,,,,,,
,,,s_intrapariet&p_trans_meancurv,,,,,,,,s_intrapariet&p_trans_meancurv,,,,,,,,
,,,s_intrapariet&p_trans_numvert,,,,,,,,s_intrapariet&p_trans_numvert,,,,,,,,
,,,s_intrapariet&p_trans_surfarea,,,,,,,,s_intrapariet&p_trans_surfarea,,,,,,,,
,,,s_intrapariet&p_trans_thickavg,,,,,,,,s_intrapariet&p_trans_thickavg,,,,,,,,
,,,s_intrapariet&p_trans_thickstd,,,,,,,,s_intrapariet&p_trans_thickstd,,,,,,,,
,,,s_oc-temp_lat_curvind,,,,,,,,s_oc-temp_lat_curvind,,,,,,,,
,,,s_oc-temp_lat_foldind,,,,,,,,s_oc-temp_lat_foldind,,,,,,,,
