aseg.csv,aseg_bigregions.csv,brainstem.csv,lh.aparc.a2009s.csv,lh.aparc.csv,lh.aparc.DKTatlas.csv,lh.aparc.pial.a2009s.csv,lh.aparc.pial.csv,lh.aparc.pialDKT.csv,lh.BA_exvivo.csv,lhpcsub.csv,rh.aparc.a2009s.csv,rh.aparc.csv,rh.aparc.DKTatlas.csv,rh.aparc.pial.a2009s.csv,rh.aparc.pial.csv,rh.aparc.pialDKT.csv,rh.BA_exvivo.csv,rhpcsub.csv,wmparc.csv
,,,g_ins_lg&s_cent_ins_surfarea,paracentral_surfarea,parsopercularis_surfarea,,,,,,g_ins_lg&s_cent_ins_surfarea,paracentral_surfarea,parsopercularis_surfarea,,,,,,
,,,g_ins_lg&s_cent_ins_thickavg,paracentral_thickavg,parsopercularis_thickavg,,,,,,g_ins_lg&s_cent_ins_thickavg,paracentral_thickavg,parsopercularis_thickavg,,,,,,
,,,g_ins_lg&s_cent_ins_thickstd,paracentral_thickstd,parsopercularis_thickstd,,,,,,g_ins_lg&s_cent_ins_thickstd,paracentral_thickstd,parsopercularis_thickstd,,,,,,
,,,g_insular_short_curvind,parahippocampal_curvind,parsorbitalis_curvind,,,,,,g_insular_short_curvind,parahippocampal_curvind,parsorbitalis_curvind,,,,,,
,,,g_insular_short_foldind,parahippocampal_foldind,parsorbitalis_foldind,,,,,,g_insular_short_foldind,parahippocampal_foldind,parsorbitalis_foldind,,,,,,
,,,g_insular_short_gauscurv,parahippocampal_gauscurv,parsorbitalis_gauscurv,,,,,,g_insular_short_gauscurv,parahippocampal_gauscurv,parsorbitalis_gauscurv,,,,,,
,,,g_insular_short_grayvol,parahippocampal_grayvol,parsorbitalis_grayvol,,,,,,g_insular_short_grayvol,parahippocampal_grayvol,parsorbitalis_grayvol,,,,,,
,,,g_insular_short_meancurv,parahippocampal_meancurv,parsorbitalis_meancurv,,,,,,g_insular_short_meancurv,parahippocampal_meancurv,parsorbitalis_meancurv,,,,,,
,,,g_insular_short_numvert,parahippocampal_numvert,parsorbitalis_numvert,,,,,,g_insular_short_numvert,parahippocampal_numvert,parsorbitalis_numvert,,,,,,
,,,g_insular_short_surfarea,parahippocampal_surfarea,parsorbitalis_surfarea,,,,,,g_insular_short_surfarea,parahippocampal_surfarea,parsorbitalis_surfarea,,,,,,
,,,g_insular_short_thickavg,parahippocampal_thickavg,parsorbitalis_thickavg,,,,,,g_insular_short_thickavg,parahippocampal_thickavg,parsorbitalis_thickavg,,,,,,
,,,g_insular_short_thickstd,parahippocampal_thickstd,parsorbitalis_thickstd,,,,,,g_insular_short_thickstd,parahippocampal_thickstd,parsorbitalis_thickstd,,,,,,
,,,g_oc-temp_lat-fusifor_curvind,parsopercularis_curvind,parstriangularis_curvind,,,,,,g_oc-temp_lat-fusifor_curvind,parsopercularis_curvind,parstriangularis_curvind,,,,,,
,,,g_oc-temp_lat-fusifor_foldind,parsopercularis_foldind,parstriangularis_foldind,,,,,,g_oc-temp_lat-fusifor_foldind,parsopercularis_foldind,parstriangularis_foldind,,,,,,
,,,g_oc-temp_lat-fusifor_gauscurv,parsopercularis_gauscurv,parstriangularis_gauscurv,,,,,,g_oc-temp_lat-fusifor_gauscurv,parsopercularis_gauscurv,parstriangularis_gauscurv,,,,,,
,,,g_oc-temp_lat-fusifor_grayvol,parsopercularis_grayvol,parstriangularis_grayvol,,,,,,g_oc-temp_lat-fusifor_grayvol,parsopercularis_grayvol,parstriangularis_grayvol,,,,,,
,,,g_oc-temp_lat-fusifor_meancurv,parsopercularis_meancurv,parstriangularis_meancurv,,,,,,g_oc-temp_lat-fusifor_meancurv,parsopercularis_meancurv,parstriangularis_meancurv,,,,,,
,,,g_oc-temp_lat-fusifor_numvert,parsopercularis_numvert,parstriangularis_numvert,,,,,,g_oc-temp_lat-fusifor_numvert,parsopercularis_numvert,parstriangularis_numvert,,,,,,
,,,g_oc-temp_lat-fusifor_surfarea,parsopercularis_surfarea,parstriangularis_surfarea,,,,,,g_oc-temp_lat-fusifor_surfarea,parsopercularis_surfarea,parstriangularis_surfarea,,,,,,
,,,g_oc-temp_lat-fusifor_thickavg,parsopercularis_thickavg,parstriangularis_thickavg,,,,,,g_oc-temp_lat-fusifor_thickavg,parsopercularis_thickavg,parstriangularis_thickavg,,,,,,
,,,g_oc-temp_lat-fusifor_thickstd,parsopercularis_thickstd,parstriangularis_thickstd,,,,,,g_oc-temp_lat-fusifor_thickstd,parsopercularis_thickstd,parstriangularis_thickstd,,,,,,
,,,g_oc-temp_med-lingual_curvind,parsorbitalis_curvind,pericalcarine_curvind,,,,,,g_oc-temp_med-lingual_curvind,parsorbitalis_curvind,pericalcarine_curvind,,,,,,
,,,g_oc-temp_med-lingual_foldind,parsorbitalis_foldind,pericalcarine_foldind,,,,,,g_oc-temp_med-lingual_foldind,parsorbitalis_foldind,pericalcarine_foldind,,,,,,
,,,g_oc-temp_med-lingual_gauscurv,parsorbitalis_gauscurv,pericalcarine_gauscurv,,,,,,g_oc-temp_med-lingual_gauscurv,parsorbitalis_gauscurv,pericalcarine_gauscurv,,,,,,
,,,g_oc-temp_med-lingual_grayvol,parsorbitalis_grayvol,pericalcarine_grayvol,,,,,,g_oc-temp_med-lingual_grayvol,parsorbitalis_grayvol,pericalcarine_grayvol,,,,,,
,,,g_oc-temp_med-lingual_meancurv,parsorbitalis_meancurv,pericalcarine_meancurv,,,,,,g_oc-temp_med-lingual_meancurv,parsorbitalis_meancurv,pericalcarine_meancurv,,,,,,
,,,g_oc-temp_med-lingual_numvert,parsorbitalis_numvert,pericalcarine_numvert,,,,,,g_oc-temp_med-lingual_numvert,parsorbitalis_numvert,pericalcarine_numvert,,,,,,
